nama_produk,harga,toko,lokasi_toko,terjual,nilai_produk,area
SEBLAK KERIPIK BETON 1KG CIKRUH / SEBRING KERUPUK BETON 1KG CIKRUH,43750,ICIP ICIP SNACK BANDUNG,Kab. Bandung,4,5.0,Luar Jabodetabek
100gr Kerupuk Bawang Tersanjung Bintang Bunga Krupuk Mentah seblak,4400,Eagar Wangsa,Jakarta Utara,250,4.8,Jabodetabek
cuanki tahu pasung isi 50 murah batagor kering toping seblak baso aci,12000,CuankiCulametan,Kab. Garut,250,4.9,Luar Jabodetabek
Seblak Basranger,14500,Khayla BeautyShop,Kab. Bekasi,9,5.0,Jabodetabek
Oifyoo Seblak Mozarella,22000,Clower Mart,Jakarta Barat,23,4.8,Jabodetabek
SEBLAK SOACI / SEBLAK BASO ACI SOACI,16850,TOBELO SHOP,Tangerang,100,5.0,Jabodetabek
Kerupuk Seblak Bantet Kencur Extra Pedas,12500,EMPING MELINJO ASLI LIMPUNG KIRANI SNACK,Kab. Batang,30,4.9,Luar Jabodetabek
Siomay Cuankie Kering Cuangki Baso Bakso Aci Seblak,8000,Celikafood,Bandung,60,4.9,Luar Jabodetabek
Seblak Mercon Komplit Khas Tasik 150gr,9500,Al Dien Mart,Tangerang,21,4.6,Jabodetabek
Seblak Instant Pedas Cadas Mantab,14000,Bianzi Food,Jakarta Selatan,50,5.0,Jabodetabek
